name,category,mass_Msun,radius_km,r_s_km,r_over_rs,E_total_J,E_rest_J,E_GR_J,E_SR_J,E_normalized,gamma_gr_max,gamma_sr_max,z_gr_max,success
Canopus,main_sequence,8.0,49672980.00000001,23.626000608802,2102470.952341128,8.987552414784523e+16,8.987551787368176e+16,4182775757.6923323,2091387708.3289292,1.0000000698094833,1.0000002161959012,1.000000108097933,-2.1619583900900352e-09,True
Achernar,main_sequence,6.7,5078610.0,19.78677550987168,256666.88326585945,8.987556926815555e+16,8.987551787368176e+16,34262990210.156624,17131483588.314827,1.0000005718406415,1.0000017709595264,1.0000008854785871,-1.770954838331562e-08,True
Beta Centauri,main_sequence,10.7,6191730.0,31.59977581427268,195942.21289390852,8.98755851958978e+16,8.987551787368176e+16,44881490533.17838,22440725505.079346,1.0000007490606744,1.0000023198014838,1.0000011598987237,-2.3197934351237848e-08,True
Capella A,main_sequence,2.5687,8334486.0,7.586013470478713,1098664.8036460783,8.987552988029928e+16,8.987551787368176e+16,8004412099.278626,4002205422.2907443,1.0000001335916366,1.0000004137255831,1.0000002068627274,-4.137253428737608e-09,True
Capella B,main_sequence,2.4828,6143031.0,7.332329288941702,837800.7530655572,8.987553361877283e+16,8.987551787368176e+16,10496728100.02324,5248362970.242076,1.0000001751877647,1.0000005425464502,1.0000002712731146,-5.4254600811987075e-09,True
Sirius B,white_dwarf,1.018,6010.848,3.006408577470055,1999.34501419572,8.988357103803074e+16,8.987551787368176e+16,5368939613602.392,2684224735373.0977,1.000089603537643,1.0002382583616682,1.0001191078957272,-4.763476108116116e-06,True
Procyon B,white_dwarf,0.602,8584.938,1.7778565458123503,4828.813674658611,8.987885194693915e+16,8.987551787368176e+16,2222743507297.512,1111329750099.1797,1.0000370965679672,1.0000986289715657,1.000049310838085,-1.9722895844287436e-06,True
40 Eridani B,white_dwarf,0.573,9461.52,1.6922122936054431,5591.213369476944,8.98783972988059e+16,8.987551787368176e+16,1919637635360.9983,959787488790.989,1.0000320379252579,1.0000851785269829,1.0000425865428393,-1.7033543535660556e-06,True
Stein 2051 B,white_dwarf,0.675,7624.871999999999,1.9934438013676687,3824.974646773939,8.987972702176598e+16,8.987551787368176e+16,2806143353885.061,1403004730338.8652,1.0000468330885186,1.0001245183206888,1.0000622533464019,-2.4899044465120923e-06,True
van Maanen's star,white_dwarf,0.67,7026.57,1.978677550987168,3551.144549294767,8.988005161856771e+16,8.987551787368176e+16,3022548370948.483,1511196515003.5398,1.000050444715015,1.0001341219072,1.000067054208295,-2.6819021762269912e-06,True
PSR J0030+0451,neutron_star,1.34,12.71,3.957355101974336,3.211741092847328,9.71843493395871e+16,8.987551787368176e+16,4989013306445615.0,2319818159459729.0,1.0813217174022602,1.1997382883922112,1.0863318261542318,-0.007660656566526258,True
PSR J0740+6620,neutron_star,2.08,12.39,6.142760158288521,2.017008589091987,1.0252672710650637e+17,8.987551787368176e+16,8799766257526106.0,3851442975298493.0,1.1407636866204836,1.394905637073374,1.1493730740310155,-0.012226302741941586,True
PSR J0348+0432,neutron_star,2.01,13.0,5.936032652961504,2.190014907265421,1.0130597066408586e+17,8.987551787368176e+16,7915585919686680.0,3514866870717402.0,1.1271809393796135,1.345546039718497,1.1350688822891577,-0.011254952080561487,True
PSR J1614-2230,neutron_star,1.97,12.5,5.817902649917492,2.148540591372265,1.0157609954714122e+17,8.987551787368176e+16,8110528297770296.0,3590053375689155.5,1.1301865285483461,1.3561969578681348,1.1382414649135664,-0.011473472540812435,True
Kepler-11,exoplanet_host,0.961,740920.5,2.83807332313234,261064.60814841,8.987556840239667e+16,8.987551787368176e+16,33685817361.259743,16842897548.286018,1.0000005622077748,1.0000017411270141,1.0000008705623702,-1.7411224795260694e-08,True
TRAPPIST-1,exoplanet_host,0.0898,82927.44,0.2652018568338025,312695.5481762302,8.987556005930555e+16,8.987551787368176e+16,28123754371.98476,14061869426.175924,1.0000004693783668,1.0000014536390054,1.0000007268187103,-1.4536358339256594e-08,True
HD 219134,exoplanet_host,0.778,541254.6,2.297628559205995,235570.97505222712,8.987557387065138e+16,8.987551787368176e+16,37331322186.63028,18665647421.542667,1.0000006230503138,1.0000019295533757,1.0000009647752917,-1.929547821521993e-08,True
55 Cancri,exoplanet_host,0.905,656045.1,2.672691318870726,245462.3530102212,8.987557161414306e+16,8.987551787368176e+16,35826982592.40225,17913478703.838978,1.0000005979432727,1.0000018517980926,1.0000009258977605,-1.8517929745165418e-08,True
Kepler-90,exoplanet_host,1.2,834840.0,3.5439000913203005,235570.97505222715,8.987557387065138e+16,8.987551787368176e+16,37331322186.63028,18665647421.542667,1.0000006230503138,1.0000019295533757,1.0000009647752917,-1.929547821521993e-08,True
HD 10180,exoplanet_host,1.06,765270.0000000001,3.1304450806662656,244460.44580891496,8.987557183439554e+16,8.987551787368176e+16,35973817645.959236,17986896126.984024,1.0000006003939121,1.0000018593876028,1.000000929692505,-1.859382436908419e-08,True
Kepler-20,exoplanet_host,0.912,656740.8,2.6933640694034287,243836.6232996737,8.987557197244677e+16,8.987551787368176e+16,36065851847.320274,18032913162.826286,1.0000006019299392,1.000001864144604,1.0000009320709988,-1.8641394095020303e-08,True
GJ 876,exoplanet_host,0.334,261652.77000000002,0.9863855254174836,265264.202745936,8.987556760243819e+16,8.987551787368176e+16,33152511475.24709,16576244954.965252,1.0000005533070364,1.0000017135618684,1.000000856779833,-1.713557462590387e-08,True
