name,category,mass_Msun,radius_km,r_s_km,r_over_rs,E_total_SSZ_J,E_rest_J,E_SR_SSZ_J,E_GR_J,E_normalized_SSZ,Xi_mean,Xi_max_val,D_SSZ_min,gamma_ssz_max,z_SSZ_max,success
Tau Ceti,main_sequence,0.783,551690.1,2.312394809586496,238579.54433769625,8.987559486982483e+16,8.987551787368176e+16,113856650578.12885,-36860507505.30043,1.000000856697629,1.0617611975249907e-06,4.932310385274974e-06,0.9999950677139423,1.0000058849242133,4.932310385230565e-06,True
Epsilon Eridani,main_sequence,0.82,511339.5,2.421665062402205,211152.0325163256,8.9875604871196e+16,8.987551787368176e+16,128646003147.08069,-41648488910.42936,1.000000967977891,1.1996780156100506e-06,5.572988708735238e-06,0.9999944270423493,1.000006649342832,5.572988708735238e-06,True
Betelgeuse,main_sequence,16.5,531514800.0,48.72862625565413,10907649.99635767,8.987551955779571e+16,8.987551787368176e+16,2490352071.7817345,-806238106.9806406,1.000000018738295,2.3223598986010786e-08,1.078831749268261e-07,0.9999998921168368,1.000000128719263,1.0788317483800824e-07,True
Rigel,main_sequence,21.0,54890730.00000001,62.01825159810526,885073.8062676535,8.987553862869701e+16,8.987551787368176e+16,30691094041.440228,-9936078802.010542,1.0000002309306888,2.8620753389008156e-07,1.3295512822253388e-06,0.9999986704504855,1.000001586335649,1.3295512821809297e-06,True
Antares,main_sequence,12.4,473076000.0,36.62030094364311,12918408.30931568,8.987551929566235e+16,8.987551787368176e+16,2102727224.5495734,-680746642.628503,1.0000000158216678,1.960883142135828e-08,9.109109235794222e-08,0.9999999089089159,1.0000001086840302,9.109109244676006e-08,True
Spica,main_sequence,11.43,5196879.0,33.755648369825856,153955.83408925083,8.987563719162182e+16,8.987551787368176e+16,176439277093.0828,-57121337016.51529,1.000001327591127,1.6453698357738134e-06,7.643402260626431e-06,0.9999923566561605,1.0000091196371108,7.64340226067084e-06,True
Pollux,main_sequence,1.91,6122160.000000001,5.640707645351478,1085353.1834867012,8.987553479879118e+16,8.987551787368176e+16,25027691351.927933,-8102581923.074589,1.0000001883172396,2.3339389879462046e-07,1.0842103863595298e-06,0.9999989157907891,1.0000012936104676,1.0842103863595298e-06,True
Fomalhaut,main_sequence,1.92,1281479.4000000001,5.67024014611248,226000.90419073048,8.987559915523064e+16,8.987551787368176e+16,120193619237.07237,-38912070357.245476,1.000000904379199,1.1208560497136592e-06,5.20682944413764e-06,0.9999947931976669,1.0000062124637101,5.206829444048822e-06,True
Deneb,main_sequence,19.0,141227100.0,56.11175144590476,2516889.8913474795,8.98755251722625e+16,8.987551787368176e+16,10792640256.028908,-3494059519.6091976,1.0000000812076626,1.0064598430430395e-07,4.67541965942786e-07,0.9999995324582526,1.0000005578410551,4.675419660316038e-07,True
Canopus,main_sequence,8.0,49672980.00000001,23.626000608802,2102470.952341128,8.987552661088864e+16,8.987551787368176e+16,12919981952.46289,-4182775069.913995,1.0000000972145373,1.2048435334079954e-07,5.596993284839869e-07,0.9999994403009849,1.0000006677973219,5.596993284395779e-07,True
Achernar,main_sequence,6.7,5078610.0,19.78677550987168,256666.88326585945,8.987558944390539e+16,8.987551787368176e+16,105833167780.43808,-34262944142.90163,1.0000007963261333,9.86938896560119e-07,4.584731013679289e-06,0.9999954152900059,1.0000054702136605,4.584731013723697e-06,True
Beta Centauri,main_sequence,10.7,6191730.0,31.59977581427268,195942.21289390852,8.987561162428205e+16,8.987551787368176e+16,138632011776.7598,-44881411487.54065,1.0000010431161066,1.2928016528677586e-06,6.005584797197373e-06,0.9999939944512696,1.000007165490487,6.005584797241781e-06,True
Capella A,main_sequence,2.5687,8334486.0,7.586013470478713,1098664.8036460783,8.987553459372357e+16,8.987551787368176e+16,24724451399.23956,-8004409584.694156,1.0000001860355545,2.305660573414414e-07,1.0710739073438447e-06,0.9999989289272398,1.0000012779368563,1.0710739073438447e-06,True
Capella B,main_sequence,2.4828,6143031.0,7.332329288941702,837800.7530655572,8.987553979980195e+16,8.987551787368176e+16,32422843972.167877,-10496723776.49757,1.0000002439609885,3.0235683659149976e-07,1.4045713786714487e-06,0.9999985954305941,1.0000016758448744,1.4045713787602665e-06,True
Sirius B,white_dwarf,1.018,6010.848,3.006408577470055,1999.34501419572,8.988672911385269e+16,8.987551787368176e+16,16579199628844.613,-5367959457913.855,1.000124741870046,0.0001545930386446614,0.000616358273258566,0.9993840213902537,1.0007355395821227,0.000616358273258566,True
Procyon B,white_dwarf,0.602,8584.938,1.7778565458123503,4828.813674658611,8.988016022813328e+16,8.987551787368176e+16,6864929953833.595,-2222575502324.3037,1.000051653159407,6.401582303979883e-05,0.00025525754347679455,0.9997448075963092,1.0003045809685251,0.00025525754347688334,True
40 Eridani B,white_dwarf,0.573,9461.52,1.6922122936054431,5591.213369476944,8.987952724497998e+16,8.987551787368176e+16,5928883623968.517,-1919512325745.6423,1.000044610271997,5.528744793042168e-05,0.00022045625016193783,0.9997795923400842,1.0002630521814708,0.00022045625016198223,True
Stein 2051 B,white_dwarf,0.675,7624.871999999999,1.9934438013676687,3824.974646773939,8.988137848956467e+16,8.987551787368176e+16,8666491468941.269,-2805875586034.732,1.0000652081459063,8.081461880280844e-05,0.0003222346861702974,0.9996778691155742,1.0003845080927596,0.00032223468617020856,True
van Maanen's star,white_dwarf,0.67,7026.57,1.978677550987168,3551.144549294767,8.988183036652923e+16,8.987551787368176e+16,9334730559737.12,-3022237712265.528,1.0000702359552058,8.704557378182277e-05,0.00034707693375226614,0.9996530434868504,1.0004141544150165,0.00034707693375235493,True
PSR J0030+0451,neutron_star,1.34,12.71,3.957355101974336,3.211741092847328,9.821357290813363e+16,8.987551787368176e+16,1.2690930522972546e+16,-4352875488520665.5,1.0927733740146104,0.11074537777514246,0.31181095044867657,0.762304964490479,1.4250619853700295,0.31181095044867657,True
PSR J0740+6620,neutron_star,2.08,12.39,6.142760158288521,2.017008589091987,1.0261655702570917e+17,8.987551787368176e+16,1.967224864421075e+16,-6931209492183341.0,1.1417631792668463,0.16467218048303323,0.4356386312100702,0.6965541176313433,1.6500843867515977,0.4356386312100702,True
PSR J0348+0432,neutron_star,2.01,13.0,5.936032652961504,2.190014907265421,1.0170528805920157e+17,8.987551787368176e+16,1.821342950772338e+16,-6383659322203574.0,1.1316239446002003,0.15383909509761517,0.4122831976172755,0.7080732828140586,1.6030387105951984,0.4122831976172754,True
PSR J1614-2230,neutron_star,1.97,12.5,5.817902649917492,2.148540591372265,1.0191134159948934e+17,8.987551787368176e+16,1.8542709904579076e+16,-6506886178771485.0,1.1339165994317129,0.15630473036498682,0.41766661466691846,0.7053844603901818,1.6136469242375298,0.41766661466691835,True
Kepler-11,exoplanet_host,0.961,740920.5,2.83807332313234,261064.60814841,8.987558823828117e+16,8.987551787368176e+16,104050372233.78424,-33685772832.415188,1.0000007829117548,9.70313588421323e-07,4.507499829387029e-06,0.999995492520488,1.0000053780661238,4.507499829387029e-06,True
TRAPPIST-1,exoplanet_host,0.0898,82927.44,0.2652018568338025,312695.5481762302,8.987557661999235e+16,8.987551787368176e+16,86870033926.43703,-28123723333.964943,1.0000006536408577,8.100997851100188e-07,3.763242652254917e-06,0.9999962367715097,1.0000044900640976,3.763242652166099e-06,True
HD 219134,exoplanet_host,0.778,541254.6,2.297628559205995,235570.97505222712,8.98755958531716e+16,8.987551787368176e+16,115310757345.13315,-37331267498.98241,1.0000008676388374,1.0753213446478504e-06,4.995302658361567e-06,0.9999950047222945,1.0000059600827693,4.995302658405976e-06,True
55 Cancri,exoplanet_host,0.905,656045.1,2.672691318870726,245462.3530102212,8.987559271084152e+16,8.987551787368176e+16,110664091990.2552,-35826932223.30765,1.0000008326757,1.0319892670999308e-06,4.794007926367528e-06,0.999995206015056,1.0000057199101255,4.794007926411936e-06,True
Kepler-90,exoplanet_host,1.2,834840.0,3.5439000913203005,235570.97505222715,8.98755958531716e+16,8.987551787368176e+16,115310757345.13315,-37331267498.982414,1.0000008676388374,1.0753213446478504e-06,4.995302658361567e-06,0.9999950047222945,1.0000059600827693,4.995302658405976e-06,True
HD 10180,exoplanet_host,1.06,765270.0000000001,3.1304450806662656,244460.44580891496,8.987559301755701e+16,8.987551787368176e+16,111117642115.18848,-35973766862.655785,1.00000083608837,1.0362188098416603e-06,4.813655835533837e-06,0.9999951863673356,1.0000057433528158,4.813655835489428e-06,True
Kepler-20,exoplanet_host,0.912,656740.8,2.6933640694034287,243836.6232996737,8.987559320980208e+16,8.987551787368176e+16,111401921121.33882,-36065800804.10162,1.000000838227385,1.0388698292914001e-06,4.825970875632635e-06,0.9999951740524143,1.0000057580463726,4.825970875588226e-06,True
GJ 876,exoplanet_host,0.334,261652.77000000002,0.9863855254174836,265264.202745936,8.98755871242881e+16,8.987551787368176e+16,102403074680.69724,-33152468345.28089,1.0000007705169103,9.54951854937125e-07,4.436138449825933e-06,0.9999955638812293,1.0000052929220837,4.4361384499147505e-06,True
